Landscape,Site,Date,Transect,Survey.Method,Habitat.Type,Day.Night,Plot.ID,Observer,Time,Scientific.Name,Taxon.Rank,Speciment.ID,Family,Group1,Group2,SVL,TaL,Hor,Ver,Substrate,Activity,Photo.ID,Note
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",18:30,Limnonectes leporinus,Spesies,-,Dicroglossidae,Amphibians,Frogs,10.47,,2,0,Serasah,Diam,,Dimakan oleh pendamping
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",18:35,Ingerophrynus divergens,Spesies,-,Bufonidae,Amphibians,Frogs,2.6,,1,0,Serasah,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",18:36,Limnonectes kuhlii,Spesies,-,Dicroglossidae,Amphibians,Frogs,,,1,0,Serasah,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",18:37,Dogania subplana,Spesies,-,Trionychidae,Reptiles,Turtles,,,,,Air,Berenang,,"Ditemukan Bang Edy di aliran air sekitar camp, masih anakan"
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",18:37,Chalcorana raniceps,Spesies,-,Ranidae,Amphibians,Frogs,,,1,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",18:38,Limnonectes kuhlii,Spesies,-,Dicroglossidae,Amphibians,Frogs,,,1,0,Serasah,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",18:41,Pulchrana baramica,Spesies,-,Ranidae,Amphibians,Frogs,4.3,,1,0,Akar,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",18:43,Pulchrana baramica,Spesies,-,Ranidae,Amphibians,Frogs,4.4,,1,1,Tanah,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",18:45,Polypedates macrotis,Spesies,-,Rhacophoridae,Amphibians,Frogs,5.4,,3,2,Ranting,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",18:46,Enhydris enhydris,Spesies,-,Homalopsidae,Reptiles,Snakes,,,,,Pasir,Berenang,,Ditemukan Bang Udin  di aliran air sekitar camp
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",18:46,Chalcorana raniceps,Spesies,-,Ranidae,Amphibians,Frogs,2.9,,1,2,Daun,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",18:48,Pulchrana picturata,Spesies,-,Ranidae,Amphibians,Frogs,3.6,,2,0,Akar,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",18:48,Pulchrana baramica,Spesies,-,Ranidae,Amphibians,Frogs,4.2,,1,0,Akar,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",18:49,Chalcorana raniceps,Spesies,-,Ranidae,Amphibians,Frogs,2.9,,2,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",18:50,Limnonectes kuhlii,Spesies,-,Dicroglossidae,Amphibians,Frogs,3.4,,3,0,Serasah,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",18:53,Chalcorana raniceps,Spesies,-,Ranidae,Amphibians,Frogs,3.3,,4,2,Daun,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",18:58,Limnonectes kuhlii,Spesies,-,Dicroglossidae,Amphibians,Frogs,3.5,,3,0,Serasah,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",18:58,Chalcorana raniceps,Spesies,-,Ranidae,Amphibians,Frogs,2.9,,3,1,Daun,Diam,,
